,first_name,last_name,1st year,2nd year
336170,Jehanna,Iwanicki,6.62,7.55
48979,Ruy,Brocklehurst,8.34,6.25
474597,Salem,Errigo,6.64,8.77
838172,Jen,Rosencrantz,7.87,6.66
543968,Salem,Mityashev,7.45,6.78
812894,Leila,Spurrior,6.39,8.22
913174,Marquita,Toplis,9.59,6.74
580502,Isabelle,Haugh,6.73,8.37
67635,Faustine,Drain,8.78,7.01
398577,Carolyn,Schwanden,9.68,8.26
893633,Marc,Kennifick,6.57,9.05
987065,Leonid,De Ruggero,7.17,9.11
644513,Raymund,Bairnsfather,7.5,9.54
995162,Cordie,Donnel,9.55,8.82
944514,Arabela,Lascelles,7.11,9.96
214156,Kippy,Sheerin,7.01,7.42
875659,Leigh,Puzey,5.81,5.38
989376,Gardener,O'Connor,6.73,8.3
507373,Valida,Fairhead,7.15,7.71
797069,Gwyneth,Wollard,9.39,9.49
976696,Beryl,Spreckley,9.17,6.72
219674,Moyra,Swift,8.03,5.51
646996,Roddie,Howgego,5.59,6.02
118197,Reese,Cockren,9.4,5.18
528068,Nicko,Cockshoot,9.45,7.19
886777,Jackie,Martinek,7.63,8.34
924064,Leonie,Gaunson,5.79,8.9
641429,Legra,Golland,9.11,8
530366,Randene,Allett,6.48,5.06
110844,Quentin,Rogister,7.18,7.41
711858,Felipe,Bloxland,6.13,9.56
75832,Kim,Till,7.69,8.26
918142,Tiler,Bradneck,8.06,7.64
198064,Caryl,Genner,6,9.17
938807,Creighton,Bate,8.95,5.66
254889,Jayme,Quayle,8.37,7.57
29026,Felipe,Semaine,7.84,7.68
531088,Inglebert,Mayhow,7.23,9.54
75295,Vitoria,Alloway,6.8,5.64
553755,Nelia,Chinnock,9.38,5.43
434911,Sheela,Tawse,8.02,9.75
387334,Ronny,Cumo,8.55,5.65
274827,Alvin,Coverdill,7.15,8.11
509863,Nathanil,Scrinage,6.78,5.82
142703,Magdalene,Huett,8.18,8.32
924833,Jodie,McVeighty,8.54,5.34
837168,Phylis,Yokel,8.54,8.91
940711,Gannon,Robardet,6.55,5.76
951280,Stefano,Pickavance,6.03,6.86
796258,Goldina,Sansbury,5.68,7.13
371257,Leeanne,Laurenzi,6.29,5.66
900617,Vergil,Marciek,5.73,6.82
40040,Libbey,Northwood,9.76,6.56
40932,Emanuel,Donaldson,6.4,6.18
190823,Carlene,Labrow,9.97,5.67
686679,Cchaddie,Shildrake,6.68,5.1
358590,Meridith,Frosch,5.15,6.67
159605,Amandy,Balfour,5.41,7.26
239300,Lewes,Meigh,5.8,7.44
988159,Kalina,Morit,9.24,8.68
822394,Gay,Rought,7.92,5.78
49829,Cad,Loddy,5.84,9.19
381516,Lewes,Birckmann,8.8,9.87
788394,Hanna,Bowcher,6.44,6.19
425215,Eadith,Letterese,5.86,9.36
396035,Fax,Kennerknecht,5.01,8.99
334630,Hershel,Zimek,8.15,5.11
730646,Fran,Davage,6.13,7.8
416024,Danella,MacAne,8.4,6.28
180292,Hetty,Firpi,8.58,9.29
963301,Connor,Bambrick,8.04,7.05
566372,Lacie,Hazeldene,6.21,7.81
214278,Cash,Carmont,8.53,5.5
247424,Trevor,Woodlands,7.91,9.92
614184,Dieter,Btham,8.16,6.93
728935,Auguste,Rentz,7.81,5.36
47634,Remus,Olivo,6.21,9.96
632441,Brunhilde,Beynkn,6.76,7.04
720925,Nananne,Lowres,9.18,7.76
261771,Tabitha,Suffe,5.17,6.72
126937,Harmonie,Learie,5.97,6.96
222911,Burlie,Petricek,6.45,5.12
343795,Golda,Bifield,7.24,6.14
65042,Sutherland,Pittwood,7.84,5.52
521446,Nicoli,Wall,5.77,6.82
667112,Amalee,Riddiford,7.23,7.94
569234,Katlin,Davitti,8.41,8.47
75325,Giffard,Spratling,7.81,7.62
569993,Rice,Amburgy,8.82,9.5
33077,Salem,Brownsall,5.76,9.93
275363,Isadore,Kettles,9.96,9.1
272797,Marys,Deeprose,5.48,5.09
122647,Augy,Meaddowcroft,7.07,8.04
377214,Cthrine,Friend,9.62,9.78
417106,Fidelio,Baudassi,9.14,9.32
190729,Timotheus,Kersey,5.15,5.2
869491,Rebekah,Fashion,6.09,8.2
778501,Pauletta,Baudains,9.62,6.08
264292,Burke,Passey,9.14,6.61
907335,Kirsteni,Armin,6.99,7.26
